FEN,Moves,Rating,Themes
4r1k1/5pb1/Qp2r1pp/8/1B1p4/P2R4/1P3PPP/3Rq1K1 w - - 1 29,b4e1 e6e1 d1e1 e8e1,399,backRankMate mate mateIn2 middlegame short
r4r1k/pp4pp/2p1Q3/3p4/8/8/PP4PP/R4q1K w - - 0 23,a1f1 f8f1,399,backRankMate endgame mate mateIn1 oneMove queenRookEndgame
3r4/4q2k/p2p2pp/3R1r2/3Q4/6N1/PPP3PP/6K1 w - - 0 27,g3f5 e7e1,399,endgame mate mateIn1 oneMove
r4r2/pb3pk1/2q3pp/1p2Rp2/2pP4/2P5/PP1Q1PPP/RB4K1 w - - 0 23,b1c2 c6g2,399,kingsideAttack mate mateIn1 middlegame oneMove
rn2Q1k1/pppb1ppp/8/3q4/3P1B2/2P2P2/P5PP/R3R1K1 b - - 2 15,d7e8 e1e8,399,backRankMate mate mateIn1 middlegame oneMove
r1b1q2k/ppp3pp/3R4/8/8/4PQ2/P5PP/5RK1 b - - 0 19,c7d6 f3f8 e8f8 f1f8,399,backRankMate endgame mate mateIn2 short
7k/1pp3pp/p2p4/6q1/4p3/1PN2Q2/1PP5/4RK2 b - - 0 33,e4f3 e1e8,399,backRankMate endgame mate mateIn1 oneMove
6k1/p4p1p/1p2pPp1/1n1p4/3P2P1/1P2BPK1/4r2P/2R5 b - - 0 34,e2e3 c1c8,399,endgame mate mateIn1 oneMove
r4Q1k/ppp3p1/7p/3Pq3/8/3B4/PPP3PP/5R1K b - - 8 25,a8f8 f1f8,399,endgame mate mateIn1 oneMove pillsburysMate
7k/p1p4p/4p3/8/3qP3/1P1P4/2PK4/5Q2 b - - 0 38,d4e5 f1f8,399,endgame mate mateIn1 oneMove queenEndgame
6k1/5p1p/p1pp1np1/4r3/P7/8/6PP/R2B1R1K w - - 0 26,f1f6 e5e1 f6f1 e1f1,399,backRankMate endgame mate mateIn2 short
r3r1k1/p5pp/1bp1q3/5p2/1P2pP2/P3P1QP/1B4P1/R3R1K1 b - - 1 22,a8d8 g3g7,399,kingsideAttack mate mateIn1 middlegame oneMove
2rR2k1/ppr2p1p/4p1pB/4P3/2P5/1K6/P4P1P/3R4 b - - 1 25,c8d8 d1d8,399,endgame mate mateIn1 oneMove pillsburysMate
5rk1/pp6/2p1R3/3n2pp/P7/6P1/6NP/4Rq1K w - - 2 40,e1f1 f8f1,399,backRankMate endgame master mate mateIn1 oneMove
1k2R3/ppp5/3n3p/5r2/8/P4P2/1PP3rP/2KR4 b - - 1 26,d6e8 d1d8,399,backRankMate endgame mate mateIn1 oneMove
2k4r/pp1q3p/5p1Q/4p3/3pB3/5P1r/PPPB4/4R1RK w - - 5 28,h6h3 d7h3,399,hangingPiece mate mateIn1 middlegame oneMove
3r2k1/1p1P2p1/p2r4/5pN1/7P/8/PP2R3/6K1 b - - 0 34,d8d7 e2e8,399,endgame mate mateIn1 oneMove
2r3k1/pp3ppp/8/8/4r3/8/PP3PPP/4R1K1 w - - 0 24,e1e4 c8c1 e4e1 c1e1,399,backRankMate endgame mate mateIn2 rookEndgame short
4r1k1/1p3ppp/p7/3R4/2P5/5N1P/Pq4P1/7K b - - 0 32,e8e2 d5d8 e2e8 d8e8,399,backRankMate endgame mate mateIn2 short
3R4/p7/8/8/4p3/4k1P1/6PP/r4K2 w - - 4 58,d8d1 a1d1,399,endgame hangingPiece mate mateIn1 oneMove rookEndgame
1k2q3/ppp5/5nQp/8/8/8/PPP3P1/2KR4 b - - 1 26,e8g6 d1d8,399,backRankMate endgame mate mateIn1 oneMove
6k1/6p1/4ppP1/3b3P/3P1K2/B1R5/1p6/1r6 b - - 1 55,b1g1 c3c8,399,endgame master mate mateIn1 oneMove
4r1k1/1p5p/6p1/pP1p1p2/P2B4/2PP2Q1/5PPP/R3q1K1 w - - 6 27,a1e1 e8e1,399,backRankMate endgame mate mateIn1 oneMove
4B2k/pp2Q1pp/2p5/8/4P3/2Pq2bP/PP4P1/R1B1Rr1K w - - 4 22,e1f1 d3f1,399,kingsideAttack mate mateIn1 middlegame oneMove
3r2k1/7p/1p4n1/p6R/8/2N1Q3/PPP3P1/2K2q2 w - - 0 31,c3d1 f1d1,399,endgame mate mateIn1 oneMove
rnb1k2r/p4p2/4pn2/1p4B1/2p1Q3/2P5/5PPP/3RKB1R b Kkq - 0 15,f6e4 d1d8,399,mate mateIn1 middlegame oneMove operaMate
r1bq1r1k/ppp1bppB/3p4/1P4N1/3Q4/8/PBPP1PnP/RN1K3R b - - 1 13,e7g5 d4g7,399,kingsideAttack mate mateIn1 middlegame oneMove
r2Q2k1/p4ppp/2p3r1/8/8/2P1Pq2/PP3PPP/3R1RK1 b - - 1 25,a8d8 d1d8,399,backRankMate endgame mate mateIn1 oneMove queenRookEndgame
3r4/1k3ppp/1p6/4Pb2/Rp1r1P2/1B6/1PP3PP/5R1K w - - 0 25,f1a1 d4d1 a1d1 d8d1,399,backRankMate endgame mate mateIn2 short
r2Q1k2/1q3p1p/p3p1p1/1pn1PN2/6P1/2P5/P1P4P/2KR1R2 b - - 0 21,a8d8 d1d8,399,endgame mate mateIn1 oneMove
k3Q2r/pp4r1/2p4p/8/2P2p2/q4N1P/5PP1/4RRK1 b - - 1 30,h8e8 e1e8,399,backRankMate endgame mate mateIn1 oneMove
r1bq1rk1/2p1npb1/pp2p1p1/3pP1PR/3P1P2/P1PQ4/1PB4P/RNB3K1 b - - 0 17,g6h5 d3h7,399,mate mateIn1 middlegame oneMove
1b3rk1/p4ppp/3qpn2/3p4/P1pP4/2P1P3/3NBPPP/3QK2R w K - 3 16,e1g1 d6h2,399,kingsideAttack mate mateIn1 middlegame oneMove
4rk1r/pp4p1/2qB1p1p/2n5/8/P1P5/2P1Q1PP/1R2R1K1 b - - 2 24,c6d6 e2e8,399,mate mateIn1 middlegame oneMove
r1brQ2k/ppp3pp/8/3P1p2/8/1B6/Pq3PPP/R3R1K1 b - - 5 20,d8e8 e1e8,399,backRankMate mate mateIn1 middlegame oneMove
1rbrR1k1/5ppp/1q6/2R2P2/7P/1P2QBP1/2P2K2/8 b - - 2 35,d8e8 e3e8,399,mate mateIn1 middlegame oneMove
8/r7/8/8/4p1R1/3k2P1/8/3K4 w - - 1 73,g4g8 a7a1,399,endgame mate mateIn1 oneMove rookEndgame
r1bq1rk1/1p2bppp/4p3/p1ppP3/5BP1/2PQP2P/PPB2P2/R3K2R b KQ - 1 14,b7b6 d3h7,399,kingsideAttack mate mateIn1 middlegame oneMove
1r4k1/4ppnp/6p1/2pP4/8/2Q5/P5PP/1qR4K w - - 0 25,c1b1 b8b1 c3c1 b1c1,399,backRankMate endgame mate mateIn2 short
3r2k1/p5pp/4p3/2p5/2P1q3/P7/1B3PPP/4R1K1 w - - 0 28,e1e4 d8d1 e4e1 d1e1,399,backRankMate endgame mate mateIn2 short
2bk4/p1rp4/5Np1/1P6/3n4/1Pp2P1P/6P1/4R1K1 b - - 2 33,c3c2 e1e8,399,endgame mate mateIn1 oneMove
5k2/2q2pp1/b1pB3N/p6n/Pp6/5Q1P/1PB3P1/r4NK1 b - - 0 28,c7d6 f3f7,399,mate mateIn1 middlegame oneMove
2r1k3/5p2/p3pp1r/3p3P/1p1R2P1/5N2/PP2BP2/K1q4R w - - 2 23,h1c1 c8c1,399,backRankMate endgame mate mateIn1 oneMove
2k1Q3/1p1n1ppp/2pP1n2/1p6/1P4q1/P7/2P2PP1/3RR1K1 b - - 3 30,f6e8 e1e8,399,endgame master mate mateIn1 oneMove
6k1/1p3ppp/p7/8/P7/2Rp3P/2bBrPP1/1N3K2 b - - 3 24,c2b1 c3c8 e2e8 c8e8,399,backRankMate endgame mate mateIn2 short
b4rk1/4bppp/2q1pn2/1Np3N1/8/1P1PB3/1P3PPP/3Q1RK1 w - - 0 18,b5c3 c6g2,399,kingsideAttack mate mateIn1 middlegame oneMove
4Q2k/pp3rpp/2p5/3p4/3P4/2q2P1P/P5PK/8 b - - 1 35,f7f8 e8f8,399,endgame hangingPiece mate mateIn1 oneMove
r4r1k/pp2qp1p/3p1npQ/2pP1bN1/4PR2/7P/PPP2PP1/2K2B1R w - - 1 18,e4f5 e7e1,399,mate mateIn1 middlegame oneMove
2R1qQ1k/pr4pp/8/8/4r3/PB6/KP3P1P/8 b - - 3 33,e8f8 c8f8,399,backRankMate endgame master mate mateIn1 oneMove
rnb2rk1/4qppp/2p1p3/pp4N1/3PQ2P/8/PPP2PP1/2KR1B1R b - - 1 12,h7h6 e4h7,399,mate mateIn1 middlegame oneMove
8/5kp1/3Bp3/4P2P/3r1n2/P5R1/5PK1/8 w - - 1 54,g2f1 d4d1,399,endgame mate mateIn1 oneMove
2k2r2/1p1r3p/p7/n3B1p1/2bPB1Q1/P7/1P4PP/2R1N1KR w - - 4 32,e5g7 f8f1,399,mate mateIn1 middlegame oneMove operaMate
6k1/2N2p2/RP2p3/P7/6np/1r6/6PK/8 w - - 0 38,h2g1 b3b1,399,endgame mate mateIn1 oneMove
4r1k1/1r3ppp/3R4/2p5/p1N5/P6P/1PP2PP1/6K1 b - - 0 25,e8e2 d6d8 e2e8 d8e8,399,backRankMate endgame mate mateIn2 short
8/1p5p/p3qk2/8/1PP2p2/P2Q4/6PP/6K1 w - - 0 36,d3h7 e6e1,399,endgame mate mateIn1 oneMove queenEndgame
5r1k/p5pp/1p1Q4/8/4q1N1/P5KP/1PR2P2/4n3 b - - 6 37,e1c2 d6f8,399,endgame hangingPiece master mate mateIn1 oneMove
6Q1/7p/b2p1k2/1q2pp2/1P2p3/8/2P2PPP/5RK1 w - - 3 26,g8h7 b5f1,399,endgame mate mateIn1 oneMove
4r2k/p1p1Q1pp/2p5/8/8/2P5/P5PP/1K1R4 b - - 0 26,e8e7 d1d8 e7e8 d8e8,399,backRankMate endgame mate mateIn2 rookEndgame short
2r2rk1/pb2bpp1/4pn1p/2pq4/P2p4/NPP1P3/2QBBPPP/R4RK1 w - - 2 16,c3c4 d5g2,399,kingsideAttack mate mateIn1 middlegame oneMove
8/ppk1pr1p/3p4/3n4/8/1PP3Q1/P2B1rPP/3RRq1K w - - 1 27,e1f1 f2f1 d1f1 f7f1,399,backRankMate mate mateIn2 middlegame short
1r2r1k1/p4ppp/8/1BQp4/3P4/P2P4/5PPP/1R2q1KR w - - 3 22,b1e1 e8e1,399,backRankMate endgame mate mateIn1 oneMove
rn1q1k2/pp3p2/2p1p1r1/7R/7P/2P5/PP3Q2/1K4R1 w - - 0 33,g1g6 d8d1,399,endgame mate mateIn1 oneMove
r1b2r1k/3pn1p1/p1n4p/1p5Q/4P3/1BP5/P5PP/R1BR1q1K w - - 2 22,d1f1 f8f1,399,backRankMate mate mateIn1 middlegame oneMove
3r1rk1/6p1/p3R2p/1p2n3/4p1P1/2P1Bp2/PP3P2/5K1R w - - 1 35,e6e5 d8d1,399,endgame mate mateIn1 oneMove
6k1/7p/p3RKp1/P7/1p5P/5P2/6rr/R7 b - - 5 37,h2h4 e6e8,399,endgame master masterVsMaster mate mateIn1 oneMove rookEndgame
1rb1rQ1k/6pp/p2p3B/q2pP3/8/2N5/PPP3PP/R4RK1 b - - 0 20,e8f8 f1f8,399,kingsideAttack mate mateIn1 middlegame oneMove
4r1k1/5ppp/pp6/2p2p2/P1B5/8/1P1r1RPP/7K w - - 0 24,f2d2 e8e1 c4f1 e1f1,399,backRankMate endgame mate mateIn2 short
k1Q3r1/pp6/q7/8/3P4/P2bP2P/1P3PP1/1RR4K b - - 8 32,g8c8 c1c8,399,backRankMate endgame mate mateIn1 oneMove
r4r2/ppp3bk/2n1Bqpp/3pp3/8/P1PP2NP/1P3PP1/R1BQK2R w KQ - 2 17,e6d5 f6f2,399,attackingF2F7 mate mateIn1 middlegame oneMove
r5k1/2R2ppp/1p1p4/1p6/1P1nP3/5P2/3B1KPP/8 b - - 2 27,a8a2 c7c8,399,backRankMate endgame mate mateIn1 oneMove
1r6/p4Q2/1qp2bpk/3p4/3p2P1/2N5/PP6/2KR4 w - - 1 27,f7f6 b6b2,399,endgame master mate mateIn1 oneMove
2r2k1r/pR2ppbp/2B3p1/8/8/4BNP1/P4P1P/6K1 b - - 0 25,c8c6 b7b8 c6c8 b8c8,399,backRankMate endgame mate mateIn2 short
3R2k1/2p2ppp/p1Q2b2/1p4q1/8/1BP4P/PP3PP1/6K1 b - - 0 24,f6d8 c6e8,399,endgame mate mateIn1 oneMove
6k1/3n3p/1p3rpQ/p4pN1/Pq1P4/7R/1P3PPP/R3r1K1 w - - 5 25,a1e1 b4e1,399,kingsideAttack mate mateIn1 middlegame oneMove
5rk1/ppp3bp/3p2p1/3Pp1P1/4P1Q1/N1P5/PP4PP/R4q1K w - - 7 21,a1f1 f8f1,399,backRankMate endgame mate mateIn1 oneMove
4k1r1/3q4/2pBp3/2Pp2Rp/1P6/P6P/5QP1/5K2 b - - 0 32,g8g5 f2f8,399,endgame mate mateIn1 oneMove
4r2k/p5p1/1p5p/8/7B/P1P5/P2q1PPP/3R2K1 w - - 0 27,d1d2 e8e1,399,backRankMate endgame mate mateIn1 oneMove
6k1/3q1ppp/p2p4/Qp1Pn3/8/P3P3/5PPP/3B2K1 b - - 0 25,d7b7 a5d8,399,backRankMate endgame mate mateIn1 oneMove
5rk1/5ppp/pq1bp3/1p4rn/1N1pQ3/P2B1P1P/1PP2P2/R4R1K b - - 4 25,h5f4 e4h7,399,kingsideAttack mate mateIn1 middlegame oneMove
4r1k1/2p2pp1/1p5p/pN6/1bP5/7P/2Q2PP1/5K2 w - - 0 36,b5c7 e8e1,399,endgame mate mateIn1 oneMove operaMate
2R1rQ1k/q5np/8/p1p1p3/1pPpPp2/1P1P1P1P/P3N2K/8 b - - 6 44,e8f8 c8f8,399,backRankMate endgame mate mateIn1 oneMove
r1r3k1/p1q1ppbp/1p1p2p1/8/3P4/PP2NQP1/1Bn2P1P/2KR3R w - - 0 19,e3c2 c7c2,399,mate mateIn1 middlegame oneMove queensideAttack
r3R2k/5Pp1/p4b1p/1pp2B2/8/2q3P1/P4P1P/4R1K1 b - - 1 27,a8e8 f7e8q,399,advancedPawn endgame mate mateIn1 oneMove promotion
8/p6p/4B3/6P1/P4k1P/1P3p2/5P2/2rrRK2 w - - 6 36,e1d1 c1d1,399,endgame mate mateIn1 oneMove
3q2k1/pb3n1p/6pB/5p1n/8/1Pp1Q3/P1P2PPP/R5K1 b - - 4 28,d8d5 e3e8,399,mate mateIn1 middlegame oneMove
8/2p3pk/8/1P1Q1p2/3P4/r5pP/6P1/6qK w - - 0 32,h1g1 a3a1,399,endgame master mate mateIn1 oneMove queenRookEndgame
6k1/ppp1Bpbp/6p1/4p1Q1/qP5N/2P5/P4PPP/5rK1 w - - 0 24,g1f1 a4d1,399,endgame mate mateIn1 oneMove
8/3Q4/pp6/4rp2/2P4P/1P4Pk/P4P2/3Rq1K1 w - - 2 40,d1e1 e5e1,399,endgame mate mateIn1 oneMove queenRookEndgame
r1b1rQ1k/p1p3pp/1np5/3p2q1/2P5/1P1BP3/P2N2PP/3R1RK1 b - - 2 17,e8f8 f1f8,399,kingsideAttack mate mateIn1 middlegame oneMove
r3rk2/ppq2bp1/7p/4Q3/8/8/PPP2PPP/R1B1R1K1 w - - 1 18,e5c7 e8e1,399,backRankMate hangingPiece mate mateIn1 middlegame oneMove
r4k2/pp1n1ppp/2p2q2/3p4/3P4/2P4P/PP2QPPN/4R1K1 b - - 0 19,a8e8 e2e8,399,endgame master mate mateIn1 oneMove
r3k2r/ppb2p1p/2nqpp2/3p3b/Q2N4/3B3P/PP1N1PP1/R1B2RK1 w kq - 2 15,d3b5 d6h2,399,mate mateIn1 middlegame oneMove
6k1/p4pbp/3p2P1/2pNq3/4P3/P2P4/1r3Q2/1K5R w - - 0 27,f2b2 e5b2,399,endgame master mate mateIn1 oneMove
q2Q2k1/5ppp/8/8/3R4/7P/5PPK/8 b - - 0 36,a8d8 d4d8,399,backRankMate endgame mate mateIn1 oneMove
5Qk1/rpq2ppp/8/pB2R3/P7/5PnP/1P4P1/4R1K1 b - - 0 28,g8f8 e5e8,399,endgame mate mateIn1 oneMove operaMate
2r1R2k/5Qpp/8/8/8/1P2P1PK/1q5P/8 b - - 10 38,c8e8 f7e8,399,backRankMate endgame mate mateIn1 oneMove
r1bq1rk1/4bppp/p3pB2/1p1p4/2nP4/P1NQPN2/1PB2PPP/1R2K2R b K - 0 13,e7f6 d3h7,399,kingsideAttack mate mateIn1 middlegame oneMove
6k1/6p1/1p1R2P1/p7/b6P/P3K3/1r6/8 b - - 0 42,b6b5 d6d8,399,endgame master mate mateIn1 oneMove
r3r1k1/p1b2ppp/4b3/1p1n2q1/1P1Qp3/P3P3/1B1NBPPP/R4R1K b - - 1 18,g5h4 d4g7,399,kingsideAttack mate mateIn1 middlegame oneMove
1R3k2/p3rpb1/2p3p1/q1n5/2B5/6P1/P4P1P/4R1K1 b - - 1 32,e7e8 e1e8,399,mate mateIn1 middlegame oneMove
2k1r2r/pp4bp/1np5/5R2/1P6/1Q6/P4nPP/1RB4K w - - 5 26,f5f2 e8e1 f2f1 e1f1,399,backRankMate mate mateIn2 middlegame short
2k2Q1r/pbpp4/1p6/n6p/3P3P/1N4q1/1PP3B1/R4RK1 b - - 0 22,h8f8 f1f8,399,mate mateIn1 middlegame oneMove
8/R6p/6pk/5r2/4p2P/6K1/5P2/8 b - - 0 43,h6h5 a7h7,399,endgame mate mateIn1 oneMove rookEndgame
1r6/4Pp1k/3P2pp/8/b1p3PP/2q2P2/1P1R4/rBK1R3 w - - 0 36,b2c3 a1b1,399,endgame mate mateIn1 oneMove pillsburysMate queensideAttack
3rk2r/1pp3pp/p1p5/4P3/8/P1n2P2/2P2P1P/R1B1K2R w KQk - 0 14,h1g1 d8d1,399,endgame mate mateIn1 oneMove
4r1k1/pp3pp1/7p/2P2N2/1P2qPP1/P1Q3KP/8/7R b - - 1 35,e4h1 c3g7,399,endgame master mate mateIn1 oneMove
r1b1kb1r/ppp2ppp/2p5/4P2q/3P2n1/2P3P1/PP2BP1P/RNBQK2R w KQkq - 1 10,e1g1 h5h2,399,kingsideAttack mate mateIn1 oneMove opening
2rq2rk/5p1Q/3BpPp1/p3P3/1ppP1P2/2R5/P5KP/8 b - - 0 31,h8h7 c3h3,399,endgame master mate mateIn1 oneMove
6k1/1pq1b1pp/p2pp2r/8/n2BPN2/6Q1/2P3PP/5R1K b - - 3 26,c7c4 g3g7,399,kingsideAttack master mate mateIn1 middlegame oneMove
6k1/ppp2ppp/8/8/P1P1Pp2/4RP1q/1P5P/3Q3K b - - 0 25,f4e3 d1d8,399,backRankMate endgame mate mateIn1 oneMove queenEndgame
2r1qrk1/1b1pb1pp/pp2p3/n1p2p2/2P2Pn1/PP1PPNQ1/1B2N1PP/R2B1RK1 b - - 4 17,g4e3 g3g7,399,kingsideAttack mate mateIn1 middlegame oneMove
r1bqk1nr/1p1p1pbp/2n1p1p1/p1p3N1/P3P3/3P1Q2/1PP2PPP/RNB1KB1R b KQkq - 2 7,c6d4 f3f7,399,attackingF2F7 mate mateIn1 middlegame oneMove
r1bq1rk1/p3bpp1/1p5B/2p2p2/4N3/3P2Q1/PPP3PP/R4RK1 b - - 0 16,f5e4 g3g7,399,kingsideAttack mate mateIn1 middlegame oneMove
2r2Rk1/p2q2p1/2p1p3/1r1pP1N1/4b1PP/1P6/P1P2Q2/2K2R2 b - - 2 27,c8f8 f2f8,399,kingsideAttack master mate mateIn1 middlegame oneMove
2r2Q1k/1p4pp/p6q/4p3/2P5/1P6/PB4PP/5R1K b - - 4 30,c8f8 f1f8,399,backRankMate endgame master mate mateIn1 oneMove
5r2/1p6/8/6pp/P2R4/1P2R1nk/2P5/6K1 w - - 9 34,d4d3 f8f1,399,endgame mate mateIn1 oneMove
2r3k1/p4ppp/4p3/1bN1P3/1r6/R7/6PP/3R2K1 b - - 0 25,c8c5 d1d8 b5e8 d8e8,399,backRankMate endgame mate mateIn2 short
2r1kb1r/p4ppp/1pB1p3/2p3B1/8/2P3P1/P1P2P1P/R2R2K1 b k - 0 14,c8c6 d1d8,399,endgame mate mateIn1 oneMove operaMate
2krr1n1/Bp1n1p2/2R2P1p/5q1N/1PP2P2/P4Q2/8/2K4R b - - 0 28,b7c6 f3c6,399,mate mateIn1 middlegame oneMove queensideAttack
1k1Q1b1r/ppp1q1p1/2p3p1/4r1p1/6P1/5P2/PPP4P/2KR3R b - - 1 18,e7d8 d1d8,399,backRankMate endgame mate mateIn1 oneMove
6k1/6pp/3p4/p2p1p2/P2Pp3/2r1R3/1r3PPP/1R4K1 w - - 0 24,b1b2 c3c1 e3e1 c1e1,399,backRankMate endgame mate mateIn2 rookEndgame short
1r4k1/5pbp/4pBp1/4P3/7N/8/6PP/1q3Q1K w - - 0 37,f1b1 b8b1,399,backRankMate endgame mate mateIn1 oneMove
2r2rkb/2q2p1p/p2p2pP/3PpR2/1p2P3/6N1/PPP1N1Q1/2K2R2 w - - 2 31,g3h5 c7c2,399,mate mateIn1 middlegame oneMove queensideAttack
6k1/p4pp1/2p5/3p4/4r2p/5BbP/P1R3P1/3Qq2K w - - 4 30,d1e1 e4e1,399,endgame mate mateIn1 oneMove
3r3k/p5pp/4Qn2/8/1P1B4/P1P5/5PPP/6K1 w - - 1 29,d4f6 d8d1 e6e1 d1e1,399,backRankMate endgame mate mateIn2 short
3r2k1/p4p1p/b5p1/4r1B1/7Q/2N5/P1P2PPP/1q4K1 w - - 0 19,c3b1 d8d1,399,backRankMate endgame mate mateIn1 oneMove
6k1/5ppp/8/1R6/1p1P4/5KP1/Pr5P/8 b - - 1 32,b2a2 b5b8,399,backRankMate endgame mate mateIn1 oneMove rookEndgame
6k1/p3np1p/2b1p1p1/2QqP3/1P1P3P/P7/3N1PP1/6K1 w - - 8 33,c5e7 d5g2,399,endgame mate mateIn1 oneMove
4r1k1/Bp3ppp/2p5/4Q3/1Pq1b3/P4B1P/5P2/3R2K1 b - - 0 25,e8e5 d1d8 e5e8 d8e8,399,backRankMate endgame mate mateIn2 short
rn3rk1/pppqbppp/8/3p2N1/3P2n1/3Q4/PPP2PPP/RNB2RK1 b - - 5 11,e7d6 d3h7,399,kingsideAttack mate mateIn1 oneMove opening
6k1/2p2r2/1P5p/2p3p1/2P1P3/8/4QpRP/Bq3K2 w - - 1 43,e2d1 b1d1,399,endgame hangingPiece master mate mateIn1 oneMove
2k1r3/pp6/8/1PP4p/3p3P/3P2p1/3R2P1/2R1r2K w - - 2 34,c1e1 e8e1,399,endgame mate mateIn1 oneMove rookEndgame
1r4k1/R4ppp/4p3/P2pP3/2p1bP2/2P4P/1R4P1/3B2K1 b - - 0 30,b8b2 a7a8 b2b8 a8b8,399,backRankMate endgame mate mateIn2 short
rn1Q2k1/ppp2ppp/5q2/4r3/8/5P2/PPP2P1P/2KR1B1R b - - 1 15,f6d8 d1d8 e5e8 d8e8,399,backRankMate mate mateIn2 middlegame short
6Q1/8/8/5p2/3p1P2/k1pP4/2P5/K6q w - - 0 51,g8g1 h1g1,399,endgame hangingPiece mate mateIn1 oneMove queenEndgame
4rQ1k/6pp/2p3p1/3p2P1/3P3q/6n1/4P1B1/5RK1 b - - 4 30,e8f8 f1f8,399,backRankMate endgame mate mateIn1 oneMove
r4rk1/1b3p1p/p3pBp1/3q4/2pP3Q/8/PPP2PPP/R3R1K1 w - - 2 18,e1e2 d5g2,399,kingsideAttack mate mateIn1 middlegame oneMove
3rk2r/1pp1b1pp/p1p5/1b2N3/2P1nB2/1P6/P4PPP/RN2R1K1 w k - 0 14,e1e4 d8d1 e4e1 d1e1,399,backRankMate mate mateIn2 middlegame short
rn2kr2/pp2p2p/2pNP1pn/3p4/3P2P1/2P2Q2/P6P/qN3RK1 b q - 2 18,e7d6 f3f8,399,mate mateIn1 middlegame oneMove
6k1/3Qr2p/4q1pB/1p6/5R2/7P/5PPK/8 b - - 0 44,e6d7 f4f8,399,endgame mate mateIn1 oneMove operaMate
6k1/5p1p/p3p1p1/1p1n2b1/1Pr5/P2N2B1/1P2RPPP/6K1 w - - 1 26,d3e5 c4c1 e2e1 c1e1,399,backRankMate endgame mate mateIn2 short
r3r1k1/ppp1qp2/6pB/5b2/4P1Q1/3P4/PPP3PP/R6K w - - 0 20,e4f5 e7e1 a1e1 e8e1,399,backRankMate endgame mate mateIn2 sacrifice short
4rBk1/1p6/p2p1r2/8/8/2P5/PP4PP/5R1K w - - 0 29,f1f6 e8e1 f6f1 e1f1,399,backRankMate endgame master mate mateIn2 short
r1b3Qk/1p4np/p2p2p1/2pPq3/P3P3/2NB3P/1PP2RP1/5RK1 b - - 0 23,h8g8 f2f8,399,master mate mateIn1 middlegame oneMove
r5k1/pp1b2pp/2p1p1r1/4Ppq1/2PP1R2/P1N1n3/1P1NQ1PP/5RK1 w - - 0 19,e2e3 g5g2,399,kingsideAttack master mate mateIn1 middlegame oneMove
rb3rk1/ppq2ppp/2p1pnb1/2Pp4/PP1P2P1/1QN2N1P/1B1nPPB1/R4RK1 w - - 3 16,f3d2 c7h2,399,mate mateIn1 middlegame oneMove
