FEN,Moves,Rating,Themes
5r1k/pp2p2p/1qnpQ1pB/8/3b4/8/PPP3PP/1R3N1K b - - 0 19,b6b2 e6e1 b2b1 e1b1,2638,advantage middlegame short
r4rk1/1p4pp/3p4/pNp4q/2Pp1Pn1/P2Pp2Q/1P2NbB1/R4RK1 w - - 8 22,f1f2 h5h3 g2h3 g4f2 h3e6 g8h8,2638,crushing intermezzo long master middlegame
6r1/ppp2p1k/1b3Pr1/5N2/3Pq1P1/2P1p1QP/PP5K/R1B5 b - - 3 26,g6g4 h3g4 g8g4 g3h3 h7g6 f5g3,2638,crushing exposedKing long middlegame
5N1k/6R1/p4Kpp/1p3p2/2b4P/6r1/8/8 b - - 3 40,b5b4 h4h5 c4g8 f8g6 g3g6 h5g6,2638,crushing endgame exposedKing long master
2r3k1/p5r1/3Nb3/2p1P1q1/2P2pP1/1P1PbQ2/PB2B1K1/R7 w - - 3 33,d6c8 e6g4 f3g4 g5h4 c8e7 h4e7,2638,crushing fork long middlegame pin sacrifice
r7/pp3p1k/3b4/3P2K1/3Pr1P1/1BP5/PP6/R1B5 w - - 1 32,c1d2 e4e2 a1h1 h7g7 d2f4 f7f6 g5f5 e2f2 f5e6 d6f4,2638,advantage defensiveMove endgame pin veryLong
5r2/pb3p1k/1p1p1Pp1/2pPn2p/4B1q1/4Q1N1/P5PP/5RK1 b - - 5 23,h5h4 g3f5 g4h5 f1f4,2638,crushing middlegame short
7B/8/p1n5/1pP5/1P2p3/P3k3/8/4K3 w - - 5 50,h8g7 e3d3 g7f6 e4e3,2638,crushing endgame short
4r1r1/p4k2/2p4p/5b2/7n/2NP2q1/PPP2QP1/R1B2RK1 w - - 0 27,f2a7 e8e7 a7f2 g3h3 f2f5 h4f5,2638,crushing defensiveMove long middlegame pin
r2q1rk1/ppp2p2/2n1b1pQ/4P3/3P3P/2bB1N2/P1P2KP1/3R3R b - - 0 21,d8d5 h4h5 c3d4 f2f1 d5e5 f3e5,2638,crushing defensiveMove long middlegame
1R6/2r2q1k/4bP1p/4Pp1B/1p1b3Q/6P1/1P3PP1/6K1 b - - 8 36,f7d7 f6f7 d4f2 g1h2 d7f7 h5f7,2638,advancedPawn crushing defensiveMove long middlegame
8/8/5b2/PR1pk1p1/8/1KP5/1P2r3/8 b - - 0 47,g5g4 a5a6 e2e1 b3a2 g4g3 a6a7 g3g2 a7a8q g2g1q a8d5 e5f4 d5f5,2638,advancedPawn advantage endgame promotion veryLong
8/5pk1/2b1p1p1/2BpP3/1P1P4/2p2KP1/r3rP2/5R1R b - - 1 36,e2d2 c5e7 g6g5 h1h5 d2f2 f1f2 a2f2 f3f2,2638,crushing endgame quietMove veryLong
r1b1k1nr/ppp2ppp/2p5/2b5/4P2q/2P5/PP1P1PPP/RNBQKB1R w KQkq - 1 6,d1e2 c8g4 g2g3 h4h5 e2c4 b7b5,2638,advantage long opening
4r3/p7/2pB2kp/3pPp2/5K1N/2b4P/P1P3P1/8 b - - 5 29,g6h5 g2g3 e8g8 e5e6 c3e1 f4f5 e1g3 d6g3 g8g3 e6e7,2638,advancedPawn crushing endgame quietMove veryLong
5r2/pQ3p2/5p2/kpq5/8/7P/4R1PK/8 b - - 3 44,a5b4 e2b2 b4a3 b2b1,2638,crushing endgame short
1r4k1/5p1p/P3p1pP/8/4RP2/1p1p4/1b1B2P1/7K b - - 0 43,b2f6 a6a7 b8f8 e4b4 b3b2 b4b8 f6e7 b8b2 e7c5 b2b7,2638,advancedPawn advantage endgame master veryLong
8/6k1/p7/1pp5/7P/P7/1P4P1/7K w - - 0 43,g2g4 b5b4 h1g1 b4b3 g1f2 c5c4 f2e3 c4c3 b2c3 b3b2,2638,advancedPawn crushing endgame pawnEndgame quietMove veryLong
6k1/p1q3pp/5p2/p1P1pP2/4r3/1Q5P/6P1/2R4K b - - 1 37,g8h8 c5c6 e4b4 b3e6 b4b8 c1d1,2638,advantage defensiveMove endgame long master
r1b2b1N/1pp3pQ/p1n4n/7k/8/2N1p3/PPP2PqP/2K3RR b - - 2 15,g2g1 h1g1 c8f5 g1g6 c6e7 g6h6 g7h6 h7f7,2638,crushing hangingPiece middlegame veryLong
8/1p6/6k1/1p1pp3/6PK/P1P5/1P6/8 w - - 1 35,g4g5 g6f5 h4h5 d5d4 c3d4 e5d4 h5h6 d4d3 g5g6 d3d2 g6g7 d2d1q,2638,advancedPawn crushing endgame master pawnEndgame promotion veryLong
1R6/7r/P1P5/1B6/6k1/6p1/5bK1/8 w - - 10 52,b8b7 h7h2 g2f1 f2d4,2638,crushing defensiveMove endgame short
6k1/8/2p3p1/3pp2p/1P5P/2P2P2/6P1/6K1 w - - 0 34,g2g4 g6g5 h4g5 h5h4,2639,crushing defensiveMove endgame master pawnEndgame short
8/p5k1/1p4p1/2pp4/5KP1/1PP2P1P/8/8 w - - 0 43,h3h4 a7a5 f4e5 c5c4 b3c4 a5a4,2639,crushing defensiveMove endgame long pawnEndgame quietMove
4r3/1b2rk1p/pp2N1p1/3P1P2/6n1/1PRB4/P2Q2Pq/4RK2 b - - 2 33,g6f5 d3f5 h2h1 f1e2 h1g2 e2d1 g2d5 f5g4,2639,crushing master middlegame veryLong
4rr1k/pp2q1p1/7p/1B6/3P1bpP/P2QB3/1P3PP1/4R2K w - - 5 28,b5e8 e7h4 h1g1 g4g3,2639,crushing kingsideAttack middlegame short
5rk1/pp1bQppp/3N4/2p5/2B2qn1/1P6/P1P2PPP/3R2K1 w - - 5 22,d6f7 f4f2 g1h1 g4e3 d1g1 e3c4,2639,advantage long middlegame
2r5/p3kppQ/2p1rb2/2pp2B1/6R1/7P/PqP2PP1/3R2K1 b - - 3 28,g7g6 g4f4 b2e5 f4f6,2639,advantage middlegame short
8/5pp1/3kp2p/8/3PKPP1/7P/8/8 b - - 0 40,f7f6 f4f5 d6e7 h3h4 e6e5 d4e5,2639,crushing endgame long pawnEndgame quietMove
1r4k1/4Bp2/2B3p1/2p4p/2bbN3/P4P2/3R2PP/1r1R3K w - - 0 42,e4c5 c4e2 c6a4 e2d1 a4d1 d4e3 d2d3 b8e8 c5e4 e8e7,2639,crushing middlegame veryLong
k7/pp1b4/3B3p/2Q5/2P1r2q/P2P3P/1P2N2K/1R6 w - - 6 35,e2g1 e4f4 d6f4 h4f4 h2g2 d7c6,2639,advantage long middlegame sacrifice
8/8/pp2k1p1/2p1P3/2Pp1PK1/PP6/8/8 b - - 0 45,b6b5 c4b5 a6b5 g4f3 e6f5 f3e2,2639,crushing defensiveMove endgame long pawnEndgame
2r1k3/r3pb2/3p4/1p1P2Q1/1p2P2P/1P1N1P2/2P5/qNK3R1 w - - 3 28,d3b4 a1d4 b4c6 c8c6 d5c6 a7a2 g1g2 d4b2,2639,advantage middlegame sacrifice veryLong
r2q4/1b2bkP1/1p2p2Q/3p4/7P/pPP5/P2N1p2/2K2R2 b - - 1 26,e7h4 h6h7 d8g8 h7h5 f7g7 h5h4,2639,crushing fork long middlegame
3r2r1/kp1b1p2/p3pp1p/3p3q/P7/1N1BP1Q1/2P2PPP/R4RK1 w - - 5 23,g3f4 e6e5 f4f6 d7h3 g2g3 d8d6 f6d6 h5f3,2639,advantage clearance middlegame pin sacrifice veryLong
8/4kp2/6p1/3KP3/7P/1p6/1P6/8 b - - 0 52,e7d7 e5e6 f7e6 d5c4 d7e7 c4b3,2639,crushing endgame long pawnEndgame
8/2k2N2/2n1PKp1/7p/5P2/6Pn/8/8 b - - 3 48,h3f4 g3f4 h5h4 f7e5 h4h3 e5c6 h3h2 e6e7 h2h1q e7e8q,2639,advancedPawn advantage endgame hangingPiece knightEndgame promotion veryLong
2r2bk1/5p1p/4pP1P/3p1p2/1p1p4/pPr3P1/P2BRPB1/4R1K1 w - - 3 31,d2c3 b4c3 e1d1 d4d3 d1d3 c3c2 e2c2 c8c2,2639,advancedPawn advantage endgame veryLong
8/4q1k1/2R1b1p1/1r2p3/n1p1P3/4QN2/P4PB1/K1N5 w - - 13 37,f3g5 e6g8 c6g6 g7g6,2639,advantage middlegame quietMove short
6k1/5pr1/6q1/P4R2/7p/4PQPr/1P3KR1/8 w - - 0 42,e3e4 h3g3 g2g3 h4g3 f2g2 g6h6,2639,crushing defensiveMove endgame long master
2r2rk1/p1pq2p1/1pR1p2p/4P1n1/3P2Q1/P1R3NP/1P3P1K/8 w - - 3 30,h3h4 f8f2 h2g1 f2f4,2639,crushing middlegame short
2r2r2/pR3pk1/6p1/1p6/5P2/4P1Pq/PP2QR1P/6K1 w - - 2 27,b7b5 c8c1 f2f1 f8c8 e2g2 h3e6,2639,advantage clearance endgame long quietMove
2r3k1/5p1p/1q2rPp1/8/3pBQP1/3P3P/5RK1/8 b - - 0 34,h7h5 g4h5 c8c6 e4c6 b6c6 f2f3 c6d6 h5g6 d6f4 g6f7 g8f8 f3f4,2639,advancedPawn crushing endgame sacrifice veryLong
8/7p/p2k2p1/2p2pPP/2PpbP2/8/1P1KB3/8 b - - 0 39,d6c6 h5h6 c6b6 e2h5 g6h5 g5g6,2639,bishopEndgame clearance crushing endgame long sacrifice
4rr2/p1p1k3/2p3Q1/4q2P/2P2pb1/1P4Pp/P4P1K/4RR2 b - - 3 27,f4g3 f2g3 g4e2 g6c2 f8f1 e1e2,2639,advantage long middlegame pin
Q2bk2r/p1qn1ppp/4bn2/8/2pP4/2N5/PP3PPP/R3KBNR w KQk - 1 12,d4d5 f6d5 c3d5 c7e5 f1e2 e6d5,2639,advantage intermezzo long middlegame sacrifice
8/5p2/6b1/5P1p/2kp3P/5B2/3K4/8 b - - 0 54,d4d3 f5g6 f7g6 d2e3,2639,bishopEndgame crushing endgame master masterVsMaster short
2k4r/pppr4/2nq4/8/2QPpp2/2P3P1/P1P2PB1/1R2R1K1 w - - 0 22,g3f4 d7g7 b1b5 d6f4 c4e6 c8b8 e6e4 f4e4,2639,advantage intermezzo master middlegame pin veryLong
1k6/8/1P3b2/pKP2P2/P7/5np1/8/7R w - - 0 59,b5a5 g3g2 h1c1 f6g5 c1d1 f3e1,2639,advancedPawn crushing defensiveMove endgame long master
4rk2/pp3p2/4b3/2RpN3/3P1P2/3N1K1p/PP4rq/4QR2 w - - 3 27,f1h1 e6g4 e5g4 g2g3 e1g3 h2e2,2639,clearance long mate mateIn3 middlegame sacrifice
8/8/5k1p/1p1p1pp1/2pP1PP1/2P3KP/1P6/8 w - - 0 37,h3h4 g5h4 g3h4 f5g4 h4g4 f6g6,2639,crushing defensiveMove endgame long pawnEndgame zugzwang
8/8/p3kppp/1pp5/5KP1/2PP3P/PP6/8 b - - 0 29,f6f5 g4f5 g6f5 b2b4 c5b4 c3b4,2639,crushing endgame long pawnEndgame
2rr2k1/pp1nbppp/4qn2/4p1N1/1PN5/PQ2P3/1B3PPP/R4RK1 b - - 5 17,e6g4 c4d6 e7d6 g5f7 g4c4 b3c4,2639,crushing fork long middlegame sacrifice
5rk1/3b3p/p3p1p1/1p3pRP/1P1Pp3/Pq2P3/1r2BK2/4R1Q1 b - - 0 27,d7e8 h5g6 h7h5 g1h2 f5f4 h2h5,2639,advantage long middlegame
r1b1k2r/pp3ppp/2p1pn2/2Rq4/3P4/5N2/1P1Q1PPP/1B3RK1 b kq - 5 16,f6e4 b1e4 d5e4 c5g5,2639,advantage middlegame short
r3qr2/p1k3p1/Q1pp3p/8/B7/4BP2/PP5P/R3b2K b - - 3 22,f8f3 a1c1 f3f1 a6f1 e8e4 f1g2,2639,advantage long middlegame
r3r1k1/pp3ppp/2p2q2/2PP4/3Pnb2/5N2/PP4PP/RN1Q1RK1 w - - 1 16,d5d6 f4e3 g1h1 f6h6,2639,advantage middlegame short
6k1/5p1p/8/1p2NP2/pB4P1/7P/2n2r2/R6K w - - 1 40,a1d1 c2b4 h1g1 f2f4,2639,advantage endgame hangingPiece short
4rrk1/p4ppp/1np4n/b7/8/PBNP1NPb/1PPB1P2/R2KR3 w - - 0 21,b3a2 a5c3 d2c3 h3g4 d1d2 g4f3,2639,advantage long middlegame pin
7Q/p1rbkp1p/4p3/1BbnPq2/7p/4PN2/PP1N2PP/2KR3R w - - 1 20,b5c4 c5e3 b2b3 c7c4 b3c4 d7a4 f3e1 f5g4,2639,crushing discoveredAttack middlegame pin veryLong
8/2n5/8/p3K3/3P4/1k6/1B6/8 w - - 0 63,d4d5 b3b2 d5d6 c7a6 d6d7 a6b8,2639,crushing endgame hangingPiece long quietMove
3q1r1k/5p1p/p2pbnpN/4p2P/2p5/P1P1Q3/6P1/1R3RK1 w - - 0 32,h5g6 h7g6 b1b7 h8g7 e3g5 f8h8 h6f7 e6f7 b7b8 h8h5 b8d8 h5g5,2639,clearance crushing middlegame veryLong
3r2k1/pp1rnpq1/2p1pR1p/3nP1pP/8/1B4R1/PP2Q1PK/2B5 w - - 2 29,b3d5 d7d5 c1g5 h6g5 h5h6 g7h7 g3g5 e7g6,2639,crushing middlegame veryLong
r7/1kp3q1/1pN5/1PbP3p/P1Q1P3/6p1/R1P3PP/7K w - - 0 31,h2h3 a8f8 e4e5 f8f2 a2a1 g7f8,2639,clearance crushing defensiveMove endgame long quietMove
8/p7/3k2pp/1P6/1K4PP/8/8/8 w - - 5 49,b4a5 g6g5 a5a6 d6c5 h4g5 h6g5,2639,crushing endgame long pawnEndgame
8/8/8/p1pPkBp1/Pp1pP1P1/1P1K2b1/8/8 b - - 14 46,e5f4 d5d6 f4f3 d6d7 g3c7 d3c4 f3f4 c4d5,2639,advancedPawn bishopEndgame crushing endgame veryLong
8/3b4/3P4/1p1K4/2p3pB/P4k1p/5P1P/8 w - - 0 57,h4f6 f3g2 f6e5 c4c3 e5c3 g2h2,2639,bishopEndgame crushing deflection endgame long master
8/8/3B4/8/1P6/2K2kpR/7p/6r1 w - - 2 51,c3c4 g1c1 c4b5 h2h1q h3h1 c1h1 d6g3 f3g3 b5c6 h1c1,2640,advancedPawn crushing endgame promotion veryLong
8/p3k3/1p6/2p1BPP1/8/1P3K2/r7/8 b - - 0 37,a2a3 g5g6 a3b3 f3e2 b3h3 f5f6 e7e6 f6f7,2640,advancedPawn crushing defensiveMove endgame exposedKing veryLong
2kr3r/ppp2pb1/4p1n1/3p1b1q/Q4Bp1/2P1P1P1/PP2BR1P/R4NK1 b - - 6 19,e6e5 f4g5 h5g5 f2f5 g5f5 e2g4 f5g4 a4g4,2640,advantage discoveredAttack middlegame pin sacrifice veryLong
r6k/pbq2p2/5p1p/4p3/7Q/1BP5/P1P2PrP/R3RK2 b - - 1 19,b7a6 f1g2 a8g8 g2h1 a6b7 e1e4 h8h7 f2f3,2640,advantage defensiveMove hangingPiece middlegame veryLong
1k2r3/pp3p2/5q1p/2PB2p1/1P1n4/P6Q/5PPP/R5K1 w - - 2 25,a1d1 f6e5 h3e3 d4e2 g1f1 e2c3 e3e5 e8e5 d1d3 c3d5,2640,endgame
r5k1/p4p2/4r3/1QP1b3/6pq/1P2P3/6P1/2R1RNK1 w - - 1 32,b5b7 a8b8 b7d5 b8d8 g2g3 e5g3 d5d8 h4d8,2640,crushing master middlegame veryLong
r2q2rk/pp2bQ1p/nn1pP2B/8/3pN3/7P/PP4P1/R4RK1 b - - 3 23,b6d5 f7h5 d5f6 e4g5 g8g5 h5g5,2640,advantage long master middlegame
8/8/8/6RP/5rp1/4k3/6K1/8 b - - 0 87,e3e4 h5h6 f4f8 g2g3 f8f3 g3g4,2640,crushing endgame long rookEndgame
8/8/3P4/4rk2/2P3p1/B7/1P3K2/8 b - - 2 43,f5f4 a3b4 e5e8 b4a5 g4g3 f2g1,2640,endgame
6R1/p4k2/7P/3r4/6K1/8/1p4P1/8 w - - 0 45,h6h7 d5d4 g4g3 b2b1q g8f8 f7g6 h7h8q b1e1,2640,advancedPawn crushing endgame promotion rookEndgame veryLong
5r2/q6p/3p2pk/p7/Np1N1P2/1P2n2P/P6K/Q4R2 w - - 6 33,d4e6 f8e8 f4f5 e3f1 a1f1 a7e3 f1f4 e3f4,2640,advantage clearance middlegame veryLong
r3r3/pp6/2p3pk/3p3p/4P2P/1PQR4/q1P2P2/2K4R b - - 0 22,d5e4 d3d7 a2a3 c1b1 e8e7 h1d1,2640,advantage defensiveMove endgame long
2r2rk1/3qpp1p/3p4/2p2p1Q/1p2P3/3P1R1P/2P3P1/5R1K b - - 0 25,f7f6 f3g3 g8h8 h5h7 h8h7 f1f4 d7e8 f4h4 e8h5 h4h5,2640,endgame kingsideAttack mate mateIn5 sacrifice veryLong
8/4kp2/4p1pp/2Pp4/5P1P/4K1P1/4P3/8 b - - 2 38,e7d7 g3g4 d7c6 e3d4 f7f6 g4g5 h6g5 h4g5,2640,crushing endgame pawnEndgame quietMove veryLong
8/8/p1n5/2K5/N5k1/P7/8/8 b - - 8 63,c6b8 c5d6 a6a5 a4c5 g4f3 d6c7 f3e3 c7b8 e3d4 c5a4 d4d3 a4b6 a5a4 b6a4,2640,crushing endgame knightEndgame quietMove trappedPiece veryLong
1k6/p7/1p1p4/4p1pp/1P3Q2/2PP1P1P/6PK/8 b - - 0 37,e5f4 h3h4 g5h4 b4b5 b8b7 h2h3,2640,crushing endgame long pawnEndgame quietMove
8/8/4pp1p/2k3pP/5PK1/4P3/6P1/8 w - - 1 52,e3e4 c5d4 e4e5 f6f5 g4f3 g5f4,2640,crushing endgame long pawnEndgame
2k5/pp3pp1/2p1p3/2np2P1/5P2/2P1PQ2/PPrB3r/3RK3 w - - 3 29,f3g3 h2h1 e1e2 c5e4 g3g2 h1d1 e2d1 c2d2 g2d2 e4d2,2640,attraction crushing endgame exposedKing fork veryLong
8/pp3k2/3K4/8/2P5/P7/8/8 b - - 2 53,f7e8 d6c7 b7b6 c7b8 e8d7 b8b7 d7d6 a3a4 d6d7 a4a5 d7d6 a5b6 a7b6 b7b6,2640,crushing endgame pawnEndgame quietMove veryLong zugzwang
8/8/1p1k1p1p/6p1/1P2KP1P/6P1/8/8 b - - 0 50,d6e6 f4g5 h6g5 e4f3 g5h4 g3h4,2640,crushing endgame long master pawnEndgame
4k1r1/1p3pPp/p3p3/Q7/3q4/3r1P2/P4P2/2R1K1R1 b - - 1 24,g8g7 g1g7 d4g7 c1c8 e8e7 a5b4 e7f6 b4f4,2640,crushing endgame master veryLong
8/4Q1k1/3p4/p2P1P2/1p1q3p/1P1B2b1/P5K1/8 b - - 1 37,g7g8 e7e8 g8g7 e8g6 g7f8 f5f6,2640,crushing endgame exposedKing long
8/7p/1Bk3p1/P2pp3/2n3PP/2PK4/2P5/8 b - - 15 42,c4b6 a5b6 c6b6 c3c4 d5d4 c2c3,2640,crushing endgame long
8/1p6/1p2k2p/3p1pp1/3P4/P2KP1P1/1P1R1P2/2r5 w - - 2 34,d2c2 c1c2 d3c2 h6h5 c2d2 f5f4,2640,crushing endgame long quietMove rookEndgame
8/8/3p4/1KpPn3/1p1k4/1B6/8/1N6 w - - 4 61,b1d2 d4c3 d2e4 c3b3 e4d6 c5c4 d6f5 b3a3 f5d4 b4b3,2640,crushing endgame quietMove veryLong
8/1p2nk2/b2B1p1p/2P3p1/4B1P1/2K4P/6P1/8 b - - 9 41,f7e6 d6e7 e6e7 c3b4 e7d7 b4a5 d7c7 c5c6 a6f1 c6b7,2640,advancedPawn crushing endgame veryLong
2q2k2/p3npb1/1p4p1/3p4/4rB2/8/PP1Q1PPP/R2R2K1 w - - 0 28,f2f3 c8c5 g1h1 e4d4 d2e3 e7f5 e3c1 c5c1 a1c1 d4f4,2641,advantage capturingDefender middlegame veryLong
k5r1/pp6/2p5/1PP1Qpqp/4p3/P5P1/5P2/3R2K1 b - - 0 33,e4e3 b5c6 b7c6 e5c7 g5g7 d1d7 g7d7 c7d7,2641,crushing endgame veryLong
8/5pp1/2p3p1/k1K5/6P1/P2P3P/8/8 b - - 0 41,a5a4 c5c6 f7f5 c6d5 f5f4 d5e4 g6g5 d3d4,2641,crushing defensiveMove endgame pawnEndgame veryLong
r7/8/8/4R3/p1k1P1K1/4P3/8/8 w - - 1 44,e5f5 a4a3 f5f1 a8g8,2641,advantage endgame rookEndgame short
4rrk1/2p2p1p/pb4p1/1p4N1/5QPq/2N5/PPP4P/R1B2K1R w - - 3 21,c1d2 f7f6 g5e4 f6f5 f1g2 f5e4,2641,advantage long middlegame
6k1/6p1/4b3/4p1qp/2P1Pp2/1Q1P1R1P/6PN/r6K w - - 1 35,h2f1 e6g4 f3f2 g4e2,2641,crushing endgame short
8/8/6p1/2k4p/2p2P2/6PP/5K2/8 w - - 0 48,f2e2 c5d4 g3g4 h5h4 e2d2 d4e4 f4f5 g6f5,2641,crushing endgame pawnEndgame quietMove veryLong
8/1p6/8/2P2pk1/1P1K4/8/8/8 b - - 0 41,f5f4 b4b5 g5g4 c5c6 b7c6 b5b6 c6c5 d4e4 f4f3 e4e3,2641,crushing defensiveMove endgame pawnEndgame quietMove veryLong
8/7R/pk2P3/8/P7/1p4P1/4rPKP/8 w - - 1 43,e6e7 b3b2 a4a5 b6a5 e7e8q e2e8 h7b7 e8e2 h2h4 a5a4 h4h5 a4a3 h5h6 e2e6 h6h7 e6h6 b7b6 h6b6,2641,advancedPawn crushing endgame rookEndgame veryLong
5k2/2r1p1b1/p2qB1pr/7p/Np1P2n1/1P4P1/PB3P1P/1Q2R1K1 b - - 0 26,g7d4 b1e4 d4f2 g1f1,2641,advantage defensiveMove master middlegame short
8/8/8/2pp4/6k1/4P3/4K1P1/8 w - - 0 48,e2d3 c5c4 d3d4 g4g3 e3e4 c4c3 d4c3 d5e4 c3d4 g3f4,2641,crushing defensiveMove deflection endgame pawnEndgame veryLong zugzwang
8/4p3/4k2p/1p1pP1pP/1PpP2K1/2P2RP1/r7/8 b - - 0 41,a2d2 f3f8 d2c2 f8h8 c2c3 h8h6 e6f7 h6h7,2641,crushing endgame quietMove rookEndgame veryLong
8/8/pp1p4/2p2k1p/2Pp4/PP3PP1/4K3/8 b - - 1 37,b6b5 c4b5 a6b5 e2d2 f5e5 a3a4 h5h4 g3h4,2641,crushing endgame pawnEndgame veryLong
7k/3r2p1/3p3p/R1pQp3/P1P5/7P/2q2PPK/8 b - - 0 35,c2f2 a5a8 h8h7 d5g8 h7g6 a8f8,2641,crushing endgame long
2r1r1k1/p3qp2/1p3npp/8/8/4P1Q1/PB3PPP/3RR1K1 w - - 2 23,d1d6 f6h5 d6g6 f7g6 g3g6 h5g7,2641,advantage defensiveMove long middlegame
5rk1/2p2pp1/prnbp1n1/5b2/1P1Pp1qp/2P2NPP/P4PB1/R1BQ1RK1 b - - 0 17,e4f3 h3g4 f3g2 f1e1,2641,advantage middlegame short
8/8/8/1p4Q1/6P1/PP1k3P/3qp3/1K6 w - - 3 50,g5b5 d3d4 b5d7 d4e3,2641,crushing defensiveMove endgame master queenEndgame short
8/6p1/8/4k3/2P1P3/PK4N1/1P5p/8 w - - 4 44,b3c3 g7g5 g3h1 g5g4 c4c5 e5f4 c5c6 g4g3 c6c7 g3g2 c7c8q g2h1q,2641,advancedPawn crushing endgame knightEndgame promotion quietMove veryLong
2kr3r/pp1b2pp/q1n5/3QP1N1/8/8/P2B1PPP/1R2K2R w K - 3 19,g5f7 d7f5 f7d8 h8d8 d5b3 f5b1,2641,crushing long middlegame sacrifice
7k/6p1/2q4p/pp6/7P/3Q1P2/PP4K1/8 w - - 2 37,d3c3 c6c3 b2c3 h8h7 g2f2 h7g6 f2e3 g6f5,2641,crushing defensiveMove endgame queenEndgame veryLong
5b2/3K1P2/p7/8/P4B2/1k6/2p5/8 w - - 0 62,d7e8 f8b4 a4a5 b3a4,2641,bishopEndgame crushing endgame quietMove short
3r2k1/p4ppp/1p6/3p2q1/4p1b1/P1N1P3/1PP2PPP/1R2QRK1 w - - 0 20,e1d2 g4f3 g2g3 g5f5 c3d5 d8d5 d2d5 f5d5,2641,crushing middlegame pin quietMove veryLong
8/2R3R1/8/3p2k1/3P2P1/8/1r3PK1/q7 b - - 7 59,g5f6 c7f7 f6e6 g4g5 b2f2 f7f2 a1d4 f2f6 d4f6 g5f6,2641,crushing endgame exposedKing queenRookEndgame quietMove veryLong
2k3r1/1pp5/p1P1bq2/4b1p1/Q3p3/2P1p1PN/P3PPB1/3R2K1 b - - 0 22,e6h3 g2h3 c8b8 a4b3,2641,crushing master masterVsMaster middlegame pin short
8/R4p2/3pk2p/6p1/3PP1P1/p4K1P/r7/8 b - - 0 44,f7f6 d4d5 e6e5 f3e3 f6f5 a7f7 a2f2 e3f2,2641,crushing endgame rookEndgame veryLong
