FEN,Moves,Rating,Themes
6k1/5p1p/Q5p1/1pbNp2q/4P3/6PP/PP2RP1K/2r5 w - - 1 34,a6b5 h5f3 b5b8 c5f8 d5e7 g8g7 b8e5 f7f6 e7f5 g6f5,2358,crushing endgame veryLong
2r1k1r1/pQ3p1p/4p2p/P1p3b1/3p4/1N6/1PP2PPq/R2KR3 b - - 1 23,h2h5 g2g4 h5g4 f2f3 g4f5 b7c8,2358,crushing defensiveMove long middlegame
r6k/1p4p1/p1b2q1p/4p3/2N2b2/2RB4/PP3PP1/3QR2K w - - 6 27,d3c2 f6h4 h1g1 h4h2 g1f1 h2g2 f1e2 g2g4 f2f3 g4g2,2358,crushing kingsideAttack middlegame veryLong
8/6pp/p1p2p2/1PP2k2/P1P2P1P/4K3/8/5b2 b - - 0 41,a6b5 a4a5 b5b4 a5a6 b4b3 e3d2 b3b2 d2c2,2358,advantage bishopEndgame endgame quietMove veryLong
8/4kp2/2p3p1/ppp1P1Kp/2P2P1P/8/PP6/8 b - - 0 35,a5a4 f4f5 g6f5 g5f5,2358,crushing endgame master pawnEndgame short
8/2p2pk1/3pr2p/pP3Qpq/P2PP3/3P1pP1/5P2/2R3K1 w - - 5 37,c1c7 e6f6 f5d7 g5g4 e4e5 f6f5 d7f5 h5f5,2358,crushing endgame quietMove veryLong
r6q/3b2k1/p3p3/3pNp2/2pP1Pp1/2P1B1b1/PP2Q1P1/R5K1 w - - 0 27,e5g4 h8h5 e2f3 h5g4,2358,crushing middlegame short
6k1/6p1/1pr5/6P1/pP3P2/P2pp2Q/4q2P/B4RK1 w - - 1 43,f4f5 d3d2 f5f6 e2f2 f1f2 e3f2 g1f2 d2d1q,2358,advancedPawn advantage endgame promotion sacrifice veryLong
4rr2/pb3p1k/1p3P1b/2p3pR/4P3/3B4/P1P1K3/6R1 b - - 1 31,f8g8 h5h6 h7h6 g1h1 h6g6 e4e5 b7e4 d3e4,2358,attraction discoveredAttack discoveredCheck exposedKing mate mateIn4 middlegame sacrifice veryLong
5rk1/1P4p1/P1P4p/3p4/8/3Q1prq/7P/R4R1K b - - 1 35,g3g2 d3d5 g8h7 d5d3 h7h8 d3d6,2358,crushing endgame long
r6q/4p3/2k1P3/3p1Q2/1Pp5/2P1P1P1/P3KP2/2R5 w - - 5 35,c1c2 a8f8 f5g6 f8f6,2358,advantage endgame short
8/1p4pk/3P2pq/pPnBp3/P7/2P5/6K1/7R b - - 4 44,b7b6 c3c4 h6h1 g2h1 h7h6 d5c6,2358,crushing defensiveMove endgame long pin quietMove
4k3/6p1/p1p1p1pp/2K1P3/3P4/4P2P/6P1/8 b - - 0 38,e8d7 c5b6 g6g5 b6a6 c6c5 a6b5 c5d4 e3d4 d7c7 b5c5,2358,crushing defensiveMove endgame pawnEndgame veryLong zugzwang
r2q2k1/pbp3p1/1p1pp1rp/5p2/1P1P4/1Q1BP3/PP1N1PPP/R4RK1 w - - 2 16,d3f5 g6g2 g1h1 g2g1 h1g1 d8g5 f5g4 g5g4,2358,attraction discoveredCheck doubleCheck fork mate mateIn4 middlegame sacrifice veryLong
8/8/1pp1k2p/1p1pP1p1/1P1P2P1/P5KP/8/8 w - - 0 42,h3h4 g5h4 g3h4 c6c5 b4c5 b6c5,2358,crushing endgame long pawnEndgame
r4k2/ppbqNpp1/3B1r2/3B3p/2p2Qb1/7P/P5P1/4RR1K w - - 1 32,e7f5 c7d6 f4d6 f6d6 f5d6 f7f6,2358,advantage defensiveMove long middlegame
8/3B4/1K3p2/p1p1bP2/P2p4/1P6/2Pk4/8 w - - 1 52,b6c5 d2c2 d7b5 d4d3,2358,bishopEndgame crushing endgame short
5rk1/p4p1p/BpQ3p1/7q/4P3/5P2/P3N1Pb/2R4K w - - 1 25,c6d5 h5h6 d5d7 h2f4 d7h3 f4c1 h3h6 c1h6,2358,advantage discoveredAttack discoveredCheck middlegame veryLong
6B1/7p/6p1/p1k2pK1/1p6/5P2/P7/8 b - - 3 41,a5a4 g8h7 b4b3 a2b3 a4b3 h7g6,2358,bishopEndgame crushing endgame long
8/8/4k3/4p1pp/1p2K3/1P4PP/2P5/8 w - - 0 43,h3h4 g5g4 e4d3 e6d5 c2c4 b4c3 d3c3 d5e4 b3b4 e4f3 b4b5 e5e4 b5b6 e4e3 b6b7 e3e2 b7b8q e2e1q,2358,advancedPawn crushing enPassant endgame pawnEndgame promotion quietMove veryLong
rn2kb1r/pbq4p/4pQp1/2p1N3/8/2n5/PPP2PPP/R3KB1R b KQkq - 3 15,c3d5 f1b5 b8c6 f6e6,2358,advantage master opening short
8/6pk/2R2p1p/2P1r3/6Q1/7P/5qPK/8 w - - 0 46,c6c8 e5e1 g4f3 f2g1,2358,crushing endgame quietMove short
8/p7/2B2k2/1PP5/3P2pp/8/b4K2/8 b - - 0 51,f6e6 b5b6 a7b6 c5b6 e6d6 d4d5,2358,bishopEndgame crushing defensiveMove endgame long
8/8/p7/1p1k1pp1/8/PP1K1PP1/8/8 w - - 2 53,a3a4 b5a4 b3a4 a6a5 d3c3 d5c5,2358,crushing defensiveMove endgame long pawnEndgame quietMove zugzwang
3r4/2p1qpk1/p4nb1/1p2b1BP/8/1B5Q/PP3PP1/4R1K1 b - - 0 25,e5h2 g1h2 e7e1 h5g6 e1e5 f2f4 f6g4 h3g4,2358,advantage middlegame veryLong
3R1bk1/5p1n/6p1/2pP2Pn/2P1Q3/1r3N1K/7P/8 w - - 3 39,h3g4 f7f5 e4f5 g6f5 g4h5 b3f3,2358,advantage fork long middlegame
r1b2rk1/pp3ppp/4p3/2n1P3/1bpNnB2/2N3Pq/PPQ2P1P/3RKB1R b K - 2 14,c5d3 d1d3 c4d3 c2d3,2358,advantage master opening short
8/8/1pk2pp1/1pp3P1/4K2P/2P5/P7/8 b - - 0 37,c6d6 g5f6 d6e6 f6f7 e6f7 e4d5 c5c4 a2a3 f7g7 d5c6 g7h6 c6b6 h6h5 b6b5 h5h4 a3a4 g6g5 a4a5 g5g4 a5a6 g4g3 a6a7,2358,advancedPawn crushing endgame pawnEndgame quietMove veryLong
r5k1/pp3ppp/3p4/2pP4/5P2/5P1P/PPPB1q2/R2Qr2K w - - 0 20,d2e1 f2f1 h1h2 a8e8 h2g3 e8e2 d1e2 f1e2,2358,advantage endgame veryLong
1rb3k1/4rpp1/pp5p/3Pp2n/P1P1P3/2QBq2P/1R1N2P1/1R5K w - - 1 26,a4a5 h5g3 h1h2 g3e2 d3e2 e3c3,2358,crushing long middlegame
r6k/3Q4/p2b3P/4p3/8/3B1P1R/PPPK1q2/8 w - - 5 32,d2c3 f2d4 c3d2 d6b4 d2e2 d4d7,2358,crushing discoveredAttack endgame exposedKing long
1b1r2k1/8/6p1/2Q1PqPp/1pP5/1P5P/1B2R2K/8 w - - 1 39,c5e7 f5f4 h2g2 d8f8 e7f8 f4f8,2358,advantage endgame long quietMove
2r1r1k1/5pp1/b2N1n1p/p2Pp3/4P3/1pP1PQ1P/qP1KN1P1/1R5R w - - 3 26,d6e8 f6e8 h1d1 e8d6,2358,crushing middlegame short
2r2rk1/1b3ppp/p1p1p1n1/6q1/Q2PB3/P5N1/1P3PPP/2R2RK1 w - - 0 24,e4c6 c8c6 c1c6 g5d5 f1c1 g6e7,2358,advantage long middlegame sacrifice
r1b1k1nr/pppp1ppp/8/2bQp3/2B1P3/2P2q2/PPK4P/RNB4R b kq - 1 9,g8f6 d5f7 e8d8 f7g7 h8g8 c4g8 f3e4 c2b3,2358,advantage attackingF2F7 defensiveMove opening veryLong
8/5p2/8/P3P3/5k2/6pp/1KP5/7N w - - 0 54,a5a6 g3g2 h1f2 h3h2 a6a7 g2g1q,2358,advancedPawn crushing endgame knightEndgame long promotion
6k1/5pp1/5b2/3p4/r2P4/p2K3P/Q4PP1/8 w - - 4 34,a2e2 a4d4 d3c2 a3a2 e2e8 g8h7 e8f7 d4h4,2358,advancedPawn crushing endgame veryLong
4r3/kp6/p1b5/3p4/1P1N3q/P3QP2/2R1K1P1/2R4r w - - 5 37,d4e6 d5d4 c1h1 c6b5 e2d1 h4h1,2358,advantage defensiveMove intermezzo long middlegame sacrifice
3k4/1p6/3PP2p/5P2/p3B2P/Pn6/1P4K1/3bb3 b - - 0 42,b3d2 f5f6 d2e4 f6f7 e4d6 f7f8q,2358,advancedPawn crushing endgame long promotion sacrifice
r2BRbk1/1p2Q2p/p1p2pq1/3p2p1/1P1P2n1/2P2N2/5PKP/8 b - - 3 33,g6g7 e7g7 g8g7 d8f6 g4f6 e8a8,2358,advantage attraction discoveredAttack kingsideAttack long middlegame pin
1Q6/5k2/2q1pr1p/2R3p1/p2P4/2P2p1P/1P4P1/6K1 b - - 1 38,c6e4 c5c7 f7g6 b8e8 g6f5 c7c5 f5f4 e8b8 f4e3 c5e5,2358,crushing endgame pin veryLong
r2q1rk1/pp2p1b1/2p1bpQp/4B3/3P4/3BP3/PP3PP1/R3K3 b Q - 0 18,f8e8 e5f4 e6f7 g6h7 g8f8 f4h6,2358,advantage exposedKing kingsideAttack long middlegame
5r1k/3qp2p/8/2pp1P2/1pbnB1Q1/8/PP3RPP/5R1K w - - 0 28,f5f6 d7g4 f6e7 f8g8,2358,crushing defensiveMove middlegame short
8/6p1/2k4p/1pp2P1P/P2bN3/1P1K4/8/8 w - - 0 37,e4c3 d4c3 d3c3 c6b6 f5f6 g7f6,2358,crushing endgame long
r5k1/p3p2p/3pN1PQ/2pq4/1p2p1P1/8/7P/5K2 b - - 0 27,d5e6 h6h7 g8f8 g6g7 f8e8 g7g8q e6g8 h7g8,2358,advancedPawn crushing deflection endgame promotion veryLong
r4rk1/ppp2pp1/2nq4/3N4/3Pn1b1/1Q2PN1p/PP2BPPP/3R1RK1 w - - 0 15,g2g3 g4e6 e2c4 c6a5,2358,advantage middlegame short
2r3k1/pp3p1p/3b1Pp1/3pN2P/3P1QP1/q7/5RK1/8 b - - 0 30,c8e8 h5g6 h7g6 f4h6 d6f8 h6g6 f7g6 f6f7 g8h7 f7e8q,2358,advancedPawn crushing endgame fork promotion sacrifice veryLong
r2q1rk1/pp4pp/2np4/4p3/5pn1/N1PP4/PPQB1PPP/R3R1K1 w - - 0 18,f2f3 d8b6 d3d4 c6d4 c3d4 b6d4 d2e3 g4e3,2358,crushing kingsideAttack middlegame veryLong
2k1r3/pp1rqpp1/2p1p2p/3P3P/2P5/3R4/PP2QPP1/1KR5 b - - 0 25,e6d5 d3e3 d5d4 e3e7,2358,advantage endgame short
r1qk4/1b1p1Qp1/pp1b1p2/4p3/1Pn2B2/P1N5/6PP/R2R2K1 w - - 0 27,d1d6 c4d6 f7f8 d8c7,2358,advantage hangingPiece middlegame short
r4rk1/pp2b1p1/5n2/2p1Qp2/8/P3P2R/qPP1NPP1/2K4R b - - 0 25,f8e8 e2c3 a2a1 c1d2,2358,advantage middlegame short
4r2k/p5pp/2p2b2/7q/3pP3/1P2r1P1/PBP2R1P/4RQK1 b - - 0 30,e8e4 f2f6 g7f6 f1f6 h8g8 e1f1 h5e8 b2d4,2358,advantage kingsideAttack middlegame quietMove veryLong
4k2r/3rnppp/2Q1p3/8/Pb6/2Nq1P2/1P1P2PP/R1BK3R w k - 1 24,c6b6 b4c3 b2c3 e7d5 b6b8 e8e7 c1a3 e7f6,2358,advantage defensiveMove middlegame pin veryLong
rR4k1/5ppp/4p1n1/3pP1N1/3P2K1/1R2Q1P1/5r1P/2B2q2 b - - 1 34,a8b8 b3b8 g6f8 b8f8 g8f8 e3a3 f8e8 a3a8 e8d7 a8b7,2358,attraction crushing middlegame veryLong
8/8/8/7p/2kpp2N/8/3K4/8 w - - 2 47,h4f5 c4d5 d2e2 d5e5,2358,crushing endgame knightEndgame short
8/8/7p/1p1pp1k1/pP4P1/3P1PK1/P7/8 b - - 0 41,a4a3 d3d4 e5e4 f3e4 d5e4 d4d5 g5f6 g3f4 e4e3 f4e3 f6e5 d5d6,2358,crushing endgame pawnEndgame quietMove veryLong
5r2/p7/2pQ4/P3R3/3q4/3k2B1/3p2PP/7K w - - 12 46,d6g6 d3c3 g6c6 c3b2,2359,advantage defensiveMove endgame short
8/8/1p2B3/6k1/1PP2pP1/8/5K2/3b4 b - - 0 50,d1g4 e6g4 g5g4 b4b5 g4f5 c4c5 f5e5 c5c6,2359,bishopEndgame crushing endgame master quietMove veryLong
6B1/p2b2PR/7P/6r1/4pk2/8/P1P2K2/8 w - - 1 38,g8d5 e4e3 f2e1 g5g1 e1e2 d7g4 e2d3 g4f5,2359,crushing endgame exposedKing master veryLong
6k1/5qr1/p2pR2Q/1ppP4/2PpNr2/PP5P/6PK/8 w - - 5 38,e4d6 f4f2 e6e8 f7e8,2359,crushing endgame master masterVsMaster short
8/8/8/4p3/P1p1k3/2P2p1P/1P2K3/8 w - - 0 46,e2f2 e4d3 f2f3 e5e4 f3f2 d3d2,2359,crushing endgame exposedKing long pawnEndgame
8/8/4p3/pp1pPk1p/2pP2pP/PPPbK1P1/8/3B4 b - - 0 43,d3e4 b3b4 a5b4 c3b4,2359,bishopEndgame crushing endgame short
Rnk4r/1p1q4/1Pp2p2/3p1Q2/3P4/1NP3K1/3BB3/5n2 w - - 0 27,g3g4 f1h2 g4f4 h8h4 f4g3 d7f5,2359,crushing deflection long middlegame pin
8/8/1p6/4p3/P2b1p1p/3R1P1P/2k1K1P1/8 w - - 0 40,d3a3 d4c3 a3a2 c2b3 e2d3 b3a2 d3c3 a2a3 a4a5 b6a5,2359,crushing defensiveMove endgame master quietMove trappedPiece veryLong
k3r3/1bR1b1p1/1p2Qn1p/p2p1P2/1q1P1B2/5NP1/7P/2R3K1 w - - 2 30,g1g2 e7d8 c7c8 a8a7 e6e8 f6e8,2359,advantage long master middlegame
2k5/1pp5/3p4/RP2p3/3PP2p/3KBrp1/2P3q1/1Q6 w - - 0 31,b1b3 f3e3 d3e3 g2f2 e3d3 f2f3,2359,advantage attraction endgame long sacrifice
4R3/1p4kp/2p2p2/p4q2/6n1/2P5/PP4Q1/5K2 w - - 0 42,f1g1 f5b1 g2f1 b1g6 e8e1 g4e3,2359,crushing discoveredAttack discoveredCheck endgame long master
8/5pk1/4b3/b2pPp2/2pP1Np1/Pp2R1P1/1P3K2/8 w - - 4 53,f2e2 a5b6 e2d1 b6d4,2359,advantage endgame master short
r2qk2r/pppb1ppp/2np1n2/8/1bBNP3/2N2P2/PPP3PP/R1BQ1RK1 w kq - 1 9,c1g5 c6d4 g5f6 g7f6,2359,advantage opening short
r7/7Q/3bkp2/3p4/p6P/2p5/1P4P1/4K3 w - - 0 34,b2c3 a4a3 h7b7 a8b8 b7a7 b8b2,2359,crushing endgame long
6k1/7R/p5P1/7P/2p4r/8/6K1/8 b - - 1 50,a6a5 g2g3 h4h1 g3g4,2359,crushing defensiveMove endgame master rookEndgame short
r1b1r1k1/1p4p1/1pq2p1p/1Np1n3/P2p1B2/6Q1/1PP2PPP/R3R1K1 b - - 1 21,e5f7 e1e8 c6e8 b5c7 a8a4 g3g7 g8g7 c7e8 g7f8 a1a4,2359,attraction crushing fork middlegame veryLong
Q6k/2p4p/3n4/2pP2q1/2P5/2P2R1P/4r1P1/7K b - - 2 34,h8g7 a8f8 g7g6 f3g3 e2e1 h1h2,2359,advantage endgame long pin
5r2/bp6/p4n2/P1P1p2k/1P1p2R1/5PP1/3R2K1/8 b - - 0 36,f6d5 g2g1 f8f3 g4g8 f3f1 g1f1,2359,crushing endgame long quietMove
8/8/4k3/pp3p2/5K1p/PPP4P/8/8 b - - 0 43,e6f6 a3a4 b5a4 b3a4 f6e6 c3c4 e6f6 c4c5,2359,crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang
6k1/3b2p1/4p2p/p2p4/1ppP4/2P2R2/PP1q2P1/3B1RK1 b - - 9 29,d2b2 f3f8 g8h7 f8f2 b2c3 d1c2 c3c2 f2c2,2359,advantage endgame veryLong
1k4r1/pp3p2/4q3/2bpP3/2p2QP1/2P3Br/PP1R1P2/1K2R3 w - - 3 31,d2d5 e6d5 e5e6 b8a8,2359,advantage defensiveMove hangingPiece master middlegame short
3r1r1k/pp6/6pp/2pR4/2Bn1q2/4R3/PP4P1/4Q1K1 b - - 1 25,d4f5 d5d8 f8d8 e3e8 h8g7 e8d8,2359,advantage attraction exposedKing long middlegame
r5k1/pp1n1qpp/2pb4/8/3PQ3/4B1P1/PP4BP/5RK1 b - - 4 21,f7a2 g2h3 d7f8 f1f8 g8f8 h3e6 a2e6 e4e6,2359,crushing middlegame sacrifice veryLong
r3k2r/pp3p2/7p/1R1Ppp2/8/q3PK2/3N1PPP/2nQ2NR w kq - 0 24,f3g3 h8g8 g3h3 c1d3,2359,crushing middlegame short
2r3k1/1bp5/1p2Q1p1/p4r2/3P3q/2P1B2P/P1P4K/6R1 b - - 0 26,g8f8 g1g6 f5f2 h2g1 f2g2 g6g2,2359,crushing long middlegame
r1bqr1k1/ppp2ppp/8/3n4/1b1n4/1PNB4/PBPQNPPP/R3K2R w KQ - 4 11,d3h7 g8h7 d2d4 d5c3,2359,advantage hangingPiece middlegame pin short
3r2k1/2qnbNp1/pp2p2p/2n5/2P5/1PN4Q/PB3PP1/4R2K b - - 0 30,d8f8 c3d5 e6d5 f7h6 g7h6 e1e7 f8f7 e7e8,2359,advantage kingsideAttack middlegame sacrifice veryLong
kr6/1rR5/q4p2/6p1/4Q3/2PP1P1p/7P/5RK1 w - - 3 39,f1b1 a6a2 b1b2 a2a1 g1f2 a1b2,2359,crushing endgame fork long
r1b1k2r/pp3pbp/3pP1p1/q5B1/8/2P2B2/P4PPP/R2QR1K1 b kq - 0 14,c8e6 d1d6 a5g5 f3b7 g5e7 d6c6,2359,advantage long middlegame
1r4k1/5pp1/b3q2p/3p4/P1pQP3/R4P2/2K3PP/7R w - - 0 32,d4d5 e6b6 d5e5 c4c3 e5b8 b6b8,2359,advantage endgame long quietMove
r1k4r/pp1b2q1/2nR3p/6pQ/8/6P1/PPP1BPP1/4R1K1 b - - 0 20,h8e8 e1d1 e8e7 d6d7 e7d7 e2g4,2359,advantage long middlegame pin quietMove sacrifice
r2r2k1/1pbn1p2/2p1p1p1/1q2P1p1/1B1PQP2/P6R/6PP/2R3K1 b - - 0 28,g5f4 e4f4 c7e5 d4e5 b5e5 b4c3,2359,crushing long middlegame
8/8/1k3p1p/2pPpP2/p1P3P1/8/PK6/8 b - - 9 48,b6a5 b2a3 e5e4 a3b2,2359,crushing defensiveMove endgame pawnEndgame short zugzwang
5rk1/pb4pp/1p2p3/8/1PPRp1q1/P7/1BQ2PPP/6K1 w - - 0 24,c2c3 e6e5 h2h3 e5d4,2359,crushing endgame short
8/1N6/1R6/1p6/1k1p4/2pK4/5r2/8 w - - 0 47,b7d6 f2d2 d3e4 b4c5,2359,crushing endgame master short
r3r3/p7/1qpk2p1/2R2p2/P1Q4P/6K1/4N2R/8 w - - 0 38,e2f4 e8e3 g3f2 e3e4 c4d3 d6c5,2359,advantage long middlegame
1r1q1rk1/3n1p2/p2Q4/1ppBpPb1/3nP3/P2P3P/1PP3PN/R4RK1 b - - 0 19,d7b6 d6g6 g8h8 g6h5,2359,crushing kingsideAttack middlegame pin short
3r1rk1/5ppp/bB2p3/8/6nq/P1P1p1NP/2P2PP1/R3Q1RK w - - 0 21,f2f3 g4f2 h1h2 d8d2,2359,advantage master middlegame short
2kr3r/pp2bpp1/1np1p3/3qP3/3P2Q1/5N2/PP3PPP/1RB1R1K1 w - - 3 17,g4g7 h8g8 g7g3 g8g3,2359,crushing middlegame short
8/5pk1/5p2/2pBPRn1/3r2Q1/4q3/6PK/8 w - - 1 42,e5f6 g7h6 g4g3 e3g3 h2g3 h6g6,2359,advantage defensiveMove endgame long
rb4k1/ppq3pp/2p1rp2/3n4/2BP3n/1P2BN2/P2Q1PPP/R3R1K1 w - - 1 19,e3f4 h4f3 g2f3 c7f4 d2f4 e6e1 a1e1 b8f4,2359,advantage deflection kingsideAttack middlegame veryLong
6k1/3b1p2/5qpp/8/2pNp1P1/2PnP2P/Qr3P2/1B3RK1 w - - 5 39,a2c4 b2b1 c4d3 e4d3,2359,crushing middlegame short
r3qrk1/pp3n2/6Rp/3Q4/P7/2P1P3/1P2B1P1/6K1 b - - 2 29,g8h7 g6e6 e8e6 d5e6,2359,advantage middlegame short
1rq1r3/4p1k1/p2pQnp1/2pP4/1pP1BP2/1P3R2/P5P1/R5K1 w - - 4 30,f3g3 c8e6 g3g6 g7h7 d5e6 f6e4,2359,advantage long middlegame
2r5/p2r1k1p/R3p1p1/5p2/8/1P1BPPP1/1BP1K2P/8 w - - 6 29,d3b5 c8c2 e2e1 d7b7 b5c6 b7c7,2359,advantage endgame fork long
2kr3r/1p1q2bp/p1p2n2/2p2pB1/8/2NP1Q2/PPP2PPP/3RR1K1 w - - 1 16,c3e4 f5e4 d3e4 d7e6 d1d8 h8d8,2359,advantage long middlegame
3r4/1ppn3p/p1p4P/6pk/4P1N1/3P2K1/PPP5/5R2 b - - 5 27,d8e8 f1f7 d7e5 g4e5,2359,crushing endgame master short
1B6/6p1/p1k2p2/1p1p3P/Pb1P1P2/1P2K3/8/8 w - - 1 45,f4f5 b5a4 b3a4 c6b6,2359,advantage bishopEndgame defensiveMove endgame short
r4qk1/pQp2ppp/1bn5/4pb2/2B1n3/2P2N2/P4PPP/RN2R1K1 w - - 1 14,e1e4 f5e4 b1d2 a8b8,2359,advantage hangingPiece middlegame short
8/1p6/p1k5/1bP3pp/1P1K1p2/3B1P1P/6P1/8 w - - 5 38,d3c4 b5c4 d4c4 h5h4 c4d4 c6b5 d4c3 a6a5 b4a5 b5c5,2359,bishopEndgame crushing deflection endgame quietMove veryLong zugzwang
r1b2k1r/ppNp1Npp/2n5/2b5/2B1n2q/8/PPPP1PPP/R1BQK2R w KQ - 1 9,d1f3 c6d4 f7e5 d4f3,2359,crushing opening short
4rrk1/1p3pb1/p2p3P/3Q4/1qp2P2/7P/b1P1B3/2BK2R1 b - - 1 25,c4c3 g1g7 g8h8 d5f5 b4d4 e2d3,2359,crushing long middlegame
8/8/8/4k3/2p4p/p1P1KP2/PrR3P1/8 w - - 4 57,e3d2 e5f4 c2b2 a3b2,2359,advancedPawn crushing endgame rookEndgame short
r1bq2k1/2pn1pbp/1p2r1P1/p7/8/3QPNB1/PPP2PP1/2KR3R b - - 0 16,f7g6 d3d5 d8f6 f3d4 d7f8 d5a8,2359,advantage fork long middlegame pin
8/p3k2p/4p3/1pp1pp2/4P2P/P1PK1P2/1P4P1/8 b - - 0 27,f5f4 c3c4 a7a6 c4b5 a6b5 a3a4 b5a4 d3c4 e7d6 c4b5,2359,crushing endgame master pawnEndgame veryLong
8/8/6p1/4kp1p/7P/4K1P1/5P2/8 b - - 3 73,e5f6 e3f4 f6f7 f4g5 f7g7 f2f3 g7f7 g5h6 f5f4 g3f4 f7f6 h6h7,2359,crushing endgame pawnEndgame quietMove veryLong zugzwang
8/6p1/4p1P1/1pk1P3/1p2KPNb/1P5p/P7/8 w - - 2 38,f4f5 e6f5 e4f5 h4g3,2359,crushing endgame master short
4r1k1/p4r1p/2p2ppQ/8/2P4R/1P4P1/P3qP1P/3R2K1 w - - 3 25,d1d2 e2f3 h4e4 f3e4,2359,advantage endgame short
4Q3/pp2R2p/1knp3B/5q1n/3P3P/6p1/PPP3p1/RN4K1 w - - 0 22,e7f7 f5h3 f7b7 b6b7 e8d7 h3d7,2359,crushing long middlegame
8/R1br4/2k5/2p1p3/1pK2p2/1P3Pp1/1P4P1/6B1 b - - 3 46,c7b6 a7d7 c6d7 c4d5 b6a7 d5e5 d7c6 e5f4,2359,crushing endgame veryLong
2kr3r/ppp2pp1/4p1q1/3nPn2/2N2P2/2P3P1/PP1BQR1P/R5K1 w - - 7 23,c4e3 f5g3 h2g3 g6g3 f2g2 d5f4,2359,advantage deflection kingsideAttack long middlegame
2bk4/1B6/P4p2/1N2p3/2p1P3/2K5/5b2/8 b - - 2 47,f6f5 b7c8 d8c8 e4f5,2359,capturingDefender crushing endgame master short
r1b2bnr/1p1pk1pp/p2N1p2/q1B1p3/1n2P3/8/P1P2PPP/RN1QKB1R w KQ - 0 11,d6c8 e7e8 c5f8 b4c2,2359,advantage defensiveMove discoveredCheck doubleCheck opening sacrifice short
rnb3k1/pp4pp/2p5/3p4/5rnq/1BNN4/PPP2PP1/R2QR1K1 w - - 0 14,d3f4 h4f2 g1h1 f2h4 f4h3 g4f2 h1g1 f2d1,2359,advantage fork opening veryLong
